ImageID,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation,ClassName,valid_image
59769b08b04dc97b,train,https://c4.staticflickr.com/5/4148/4995410910_4c8693e199_o.jpg,https://www.flickr.com/photos/kurtxio/4995410910,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/kurtxio/,Roberto Latxaga,Grrrrrrrrrrr,459462,v2hHXY9EcT02E+ZqmqHDkA==,https://c3.staticflickr.com/5/4148/4995410910_bf92c982b6_z.jpg,0.0,Bear,True
f4c5f0088898d6c9,train,https://c2.staticflickr.com/6/5302/5611194447_6257fd5fee_o.jpg,https://www.flickr.com/photos/koyaanisgatsi/5611194447,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/koyaanisgatsi/,Flashy Soup Can,"Martini in a Blanket, 101/365",473453,Xnq+knEuYBjUfhSk2REKyA==,https://c4.staticflickr.com/6/5302/5611194447_80c4605c9f_z.jpg,,Bear,True
42eb489d302c4d6a,train,https://c3.staticflickr.com/1/200/463009439_c6955ee555_o.jpg,https://www.flickr.com/photos/vroig/463009439,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/vroig/,VRoig,llunaw9,118034,G/j5vK0EZ5KKQrlraBiiGw==,,,Bear,True
10879e4e73ce08d6,train,https://farm7.staticflickr.com/2555/3709497201_3d2b74b048_o.jpg,https://www.flickr.com/photos/frank-wouters/3709497201,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/frank-wouters/,belgianchocolate,baby reuzenmiereneter,1027280,L8vOgfjz9ecRMWNrqrBWfg==,https://c8.staticflickr.com/3/2555/3709497201_0f8f9c05f9_z.jpg,0.0,Bear,True
003ad398625cf21c,train,https://c5.staticflickr.com/2/1052/3269607623_37d0317efd_o.jpg,https://www.flickr.com/photos/steveganz/3269607623,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/steveganz/,Steve Ganz,He Found His Tribe,130151,UCMw014YCFFIjNt5FSRJtg==,https://c8.staticflickr.com/2/1052/3269607623_ec5d45b116_z.jpg?zz=1,0.0,Bear,True
04e539e9824975eb,train,https://c4.staticflickr.com/3/2607/4088711979_d657c95427_o.jpg,https://www.flickr.com/photos/emmeffe6/4088711979,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/emmeffe6/,emmeffe6,Arthur Rackham - English Fairy Tales,36872,FeHxs1X89RwnulOIPWIahg==,,,Bear,True
5a9b222a4171f7e9,train,https://c2.staticflickr.com/4/3425/3281120512_eec2859502_o.jpg,https://www.flickr.com/photos/dplanet/3281120512,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/dplanet/,Dplanet::,Amina's Birthday Cake,444703,ChbaPr+Iw9Mh4BIGidOLQQ==,https://c7.staticflickr.com/4/3425/3281120512_a11287590d_z.jpg?zz=1,0.0,Bear,True
1aa1ff24b8e00fc1,train,https://farm2.staticflickr.com/3730/10720387025_24c18c852d_o.jpg,https://www.flickr.com/photos/25949441@N02/10720387025,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/25949441@N02/,Andrew E. Russell,Wild Black Bear at Anan Bear Observatory,8500949,umaVI9XFr3Yd8o/CRiqDhA==,https://c7.staticflickr.com/4/3730/10720387025_75b9d93dc2_z.jpg,0.0,Bear,True
10fadfb978b4cf08,train,https://c1.staticflickr.com/8/7665/17146471818_36366dbd02_o.jpg,https://www.flickr.com/photos/tjc/17146471818,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/tjc/,TimothyJ,_260,2443705,zBIz+7j7cn6nj7XZ7Q5Kfw==,https://c3.staticflickr.com/8/7665/17146471818_10fdf4fdfc_z.jpg,0.0,Bear,True
313f58d42179f718,train,https://c1.staticflickr.com/4/3946/15415886987_22ee565afb_o.jpg,https://www.flickr.com/photos/alainalele/15415886987,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/alainalele/,alainalele,347#atroce#,5610205,H3z35W1SZWnNc+7oqfbw6Q==,https://c1.staticflickr.com/4/3946/15415886987_e63b149d63_z.jpg,0.0,Bear,True
205eb7f34fc6c31a,train,https://c3.staticflickr.com/7/6002/5896899572_00e747ff3a_o.jpg,https://www.flickr.com/photos/spencer77/5896899572,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/spencer77/,Spencer Wright,"Dancing Bear, Legoland Windsor",1632930,bb93DVeNf83BSwO/ZjgVNA==,https://c3.staticflickr.com/7/6002/5896899572_7374886864_z.jpg,,Bear,True
300c1b5a395595f2,train,https://farm3.staticflickr.com/7292/16454934899_076d253870_o.jpg,https://www.flickr.com/photos/129753316@N04/16454934899,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/129753316@N04/,aniqueazam,February CPM Art Challenge &quot;Storytime&quot; #1502,1171115,JDVz1i18sAGiUZB5DJKLWw==,https://c1.staticflickr.com/8/7292/16454934899_4ceffc05d6_z.jpg,0.0,Bear,True
9441e63f5782c3bf,train,https://c8.staticflickr.com/4/3520/3460702997_6b008c298f_o.jpg,https://www.flickr.com/photos/wackyvorlon/3460702997,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/wackyvorlon/,Paul Anderson,IMG_1222,498595,E6EYPz/9jnhQgYhfpFOzCA==,https://c3.staticflickr.com/4/3520/3460702997_5acdd97617_z.jpg,0.0,Bear,True
8d7409a115ec0791,train,https://farm2.staticflickr.com/3673/13678829703_724d268fc9_o.jpg,https://www.flickr.com/photos/27892629@N04/13678829703,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/27892629@N04/,Caroline Léna Becker,Ours à lunettes (Tremarctos ornatus),1717029,UWCyG/FxuIb2jf6nTjxBKg==,https://c3.staticflickr.com/4/3673/13678829703_287bcc77d3_z.jpg,0.0,Bear,True
02ac5096c2dfb38c,train,https://c5.staticflickr.com/6/5347/7415876188_37d79df0d5_o.jpg,https://www.flickr.com/photos/khalidalbaih/7415876188,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/khalidalbaih/,Khalid Albaih,الفروق,119879,jx5n3fGpKDXGK2otwRqmwA==,https://c7.staticflickr.com/6/5347/7415876188_2dec7ece48_z.jpg,0.0,Bear,True
0cdeaf5a73782688,train,https://c1.staticflickr.com/1/133/354605845_e668f8c6c0_o.jpg,https://www.flickr.com/photos/henley24/354605845,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/henley24/,Andrew Henley,Playing with a bucket,1477338,mELl6lFkyrFJ1yrRsYzyrQ==,https://c5.staticflickr.com/1/133/354605845_e668f8c6c0_z.jpg,0.0,Bear,True
9a663969742ef91e,train,https://c7.staticflickr.com/8/7372/8714931901_0b378cab8a_o.jpg,https://www.flickr.com/photos/gotovan/8714931901,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/gotovan/,GoToVan,Black bears in Whistler Olympic Park,5518048,kK8FFoGTzCuHb6zsx3zM9A==,https://c4.staticflickr.com/8/7372/8714931901_0cc2d9efa1_z.jpg,0.0,Bear,True
2fd937006cb2f9b5,train,https://farm6.staticflickr.com/20/72256306_73a85a068a_o.jpg,https://www.flickr.com/photos/sneezypb/72256306,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/sneezypb/,Ezra S F,Polar Bear,116237,d8BNBqzvrYzO0Vyr50lbpg==,https://c3.staticflickr.com/1/20/72256306_73a85a068a_z.jpg?zz=1,0.0,Bear,True
098552869822d246,train,https://farm7.staticflickr.com/6005/5934644567_55b82c4fcc_o.jpg,https://www.flickr.com/photos/polapix/5934644567,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/polapix/,Georg Holderied,Childhood Friends: BRUMMLI,4334680,DIVVaL11SbJS4HCyzCXB3A==,https://c4.staticflickr.com/7/6005/5934644567_e257160fca_z.jpg,0.0,Bear,True
000505f393de23e1,train,https://farm2.staticflickr.com/8035/7961319582_a1817108ff_o.jpg,https://www.flickr.com/photos/immortel/7961319582,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/immortel/,Immortel,Big kitty at Ähtäri zoo,7368654,tcTe0Iju0ThlrkgM8gRLZA==,https://c1.staticflickr.com/9/8035/7961319582_2efa5bb0b2_z.jpg,0.0,Bear,True
042438aef8cf1ae7,train,https://farm8.staticflickr.com/5043/5360117638_7325e0f6b6_o.jpg,https://www.flickr.com/photos/31031835@N08/5360117638,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/31031835@N08/,John Tann,fly on blackberry,1453343,KydJM/ZQVcBqL2g7Hr8PHg==,https://c7.staticflickr.com/6/5043/5360117638_41c10b63d0_z.jpg,0.0,Bear,True
d8d9d61e0ef7fdd2,train,https://farm3.staticflickr.com/5496/12044921733_836a33205b_o.jpg,https://www.flickr.com/photos/jeepersmedia/12044921733,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/jeepersmedia/,Mike Mozart,Valentines Bears Target,137346,eaMf8c5Z6OXkXSHp1Xh/yQ==,https://c7.staticflickr.com/6/5496/12044921733_2f0c860e00_z.jpg,0.0,Bear,True
06bbaa9815e3f5ed,train,https://c6.staticflickr.com/9/8197/8241270861_5a1191cf3e_o.jpg,https://www.flickr.com/photos/julianortegam/8241270861,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/julianortegam/,Julián Ortega Martínez,Penélope y Tomás,2184801,2CYwB+66xujNtNNO74in/g==,https://c1.staticflickr.com/9/8197/8241270861_0518096348_z.jpg,0.0,Bear,True
0a6515c9d7a1db3c,train,https://c5.staticflickr.com/1/424/19653867859_54827872c9_o.jpg,https://www.flickr.com/photos/cmichel67/19653867859,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/cmichel67/,Christopher Michel,Polar Bears on Thin Ice,14357038,pJJAxEzUnrqTeoVZi6s/sQ==,https://c8.staticflickr.com/1/424/19653867859_488182da27_z.jpg,0.0,Bear,True
04ab57deeaa84383,train,https://farm4.staticflickr.com/6117/6318670528_bcabf40a9f_o.jpg,https://www.flickr.com/photos/wrtchy/6318670528,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/wrtchy/,Wrtchy,"Stay with me, please?",522544,x/40vrBbWsxrcJdbp6JXRg==,https://c4.staticflickr.com/7/6117/6318670528_19d0bb347f_z.jpg,,Bear,True
